doctorName,email,phoneNumber,age,gender,specialisation,hospitalName,branch,time,password
DoctorE159,doctore159@gmail.com,9523737764,53,Male,nephrology,care hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorC963,doctorc963@gmail.com,9426505968,42,Female,neurology,care hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorI899,doctori899@gmail.com,9134761254,51,Male,neurology,care hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorS395,doctors395@gmail.com,9793357969,34,Male,cardiology,care hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorN842,doctorn842@gmail.com,9728345273,54,Male,cardiology,care hospitals,secunderabad,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorI452,doctori452@gmail.com,9743057481,32,Female,gastroenterology,care hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorB997,doctorb997@gmail.com,9981333458,50,Male,gastroenterology,care hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorH307,doctorh307@gmail.com,9604228842,38,Male,oncology,care hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorR365,doctorr365@gmail.com,9453938312,43,Female,oncology,care hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorK272,doctork272@gmail.com,9298035998,49,Male,nephrology,care hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorD401,doctord401@gmail.com,9628724816,58,Female,nephrology,care hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorH711,doctorh711@gmail.com,9978866110,34,Female,cardiology,care hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorE393,doctore393@gmail.com,9234562229,50,Male,cardiology,care hospitals,jubilee hills,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorI530,doctori530@gmail.com,9890837105,52,Male,gastroenterology,care hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorW858,doctorw858@gmail.com,9490803913,58,Male,gastroenterology,care hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorS259,doctors259@gmail.com,9393783924,53,Female,oncology,care hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorG464,doctorg464@gmail.com,9981486320,48,Female,oncology,care hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorQ344,doctorq344@gmail.com,9788777169,50,Female,neurology,care hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorH865,doctorh865@gmail.com,9814208318,38,Female,neurology,care hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorG222,doctorg222@gmail.com,9754274374,57,Male,cardiology,care hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorX994,doctorx994@gmail.com,9936054383,48,Female,cardiology,care hospitals,malakpet,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorJ746,doctorj746@gmail.com,9520734991,30,Male,gastroenterology,care hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorN571,doctorn571@gmail.com,9256459216,51,Female,gastroenterology,care hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorJ369,doctorj369@gmail.com,9781356573,35,Male,nephrology,care hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorK226,doctork226@gmail.com,9696254988,34,Female,nephrology,care hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorB837,doctorb837@gmail.com,9464087579,38,Male,neurology,care hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorC671,doctorc671@gmail.com,9277623126,46,Female,neurology,care hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorA117,doctora117@gmail.com,9234131576,53,Male,cardiology,care hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
DoctorU634,doctoru634@gmail.com,9363862845,42,Female,cardiology,care hospitals,gachibowli,10:00 AM-01:00 PM/4:00 PM-7:00 PM,Pot@123
